index,d__Bacteria,d__Archaea,Unassigned,d__Eukaryota,asv-id,Hojo,crop-id,year,pref,crop,date,lati,long,latlng1d,SoilTypeID,SoilTypeID2
2021-Hojo-002_S2,185319.0,5110.0,127.0,4.0,Hojo-002,Hojo,132_21_Akit_Edam,21.0,Akit,Edam,2021/4/21,40.2887,140.59456,8.56196,F2a1t1,F2a1t1
2021-Hojo-003_S3,125222.0,3130.0,55.0,0.0,Hojo-003,Hojo,133_21_Akit_Edam,21.0,Akit,Edam,2021/4/21,40.28496,140.58007,8.54873,F1z1p2,F1z1p2
2021-Hojo-004_S4,136090.0,3109.0,98.0,2.0,Hojo-004,Hojo,134_21_Akit_Edam,21.0,Akit,Edam,2021/4/21,40.28739,140.57882,8.54945,F1z1p2,F1z1p2
2021-Hojo-005_S5,174896.0,4766.0,99.0,5.0,Hojo-005,Hojo,135_21_Akit_Edam,21.0,Akit,Edam,2021/4/21,40.29592,140.58084,8.55668,D3d2p2,NA
2021-Hojo-006_S6,182757.0,3885.0,207.0,0.0,Hojo-006,Hojo,136_21_Akit_Soyb,21.0,Akit,Soyb,2021/4/21,40.28691,140.58607,8.55448,F2,F2a1t1
2021-Hojo-007_S7,153694.0,7260.0,90.0,9.0,Hojo-007,Hojo,137_21_Akit_Soyb,21.0,Akit,Soyb,2021/4/21,40.31706,140.56971,8.56269,D6z1v3,NA
2021-Hojo-008_S8,101494.0,2270.0,62.0,0.0,Hojo-008,Hojo,138_21_Akit_Soyb,21.0,Akit,Soyb,2021/4/21,40.32274,140.56185,8.56071,F1j6y1,F1z1t1
2021-Hojo-009_S9,150635.0,5547.0,90.0,4.0,Hojo-009,Hojo,139_21_Akit_Soyb,21.0,Akit,Soyb,2021/4/21,40.2941,140.55357,8.5353,F1z1p2,F1z1p2
2021-Hojo-010_S10,109931.0,2881.0,61.0,8.0,Hojo-010,Hojo,140_21_Akit_Soyb,21.0,Akit,Soyb,2021/4/21,40.259941,140.578424,8.53067,F4z1p2,F4z1p2
2021-Hojo-011_S11,123646.0,7840.0,39.0,0.0,Hojo-011,Hojo,141_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/5,31.82225,131.0483,-4.19668,D6h1v4,NA
