sampleID,Latitude,Longitude
138,40.6965,86.216
139,40.6965,86.216
140,40.6965,86.216
141,40.6965,86.216
142,40.6965,86.216
143,40.6965,86.216
144,40.6965,86.216
145,40.6965,86.216
146,46.7773,100.7669
147,46.7773,100.7668
148,46.7764,100.7669
149,46.7769,100.7668
150,46.7778,100.7669
151,46.7771,100.7668
152,46.7768,100.7669
153,46.7766,100.7668
154,46.7771,100.7669
155,46.7774,100.7668
156,46.7767,100.7669
157,46.7766,100.7668
158,39.095858,90.455909
159,39.095858,90.455909
160,39.095858,90.455909
161,39.095858,90.455909
162,39.095858,90.455909
163,39.095858,90.455909
164,39.095858,90.455909
165,39.095858,90.455909
166,39.095858,90.455909
167,39.095858,90.455909
168,39.095858,90.455909
169,39.095858,90.455909
170,34.770534,106.761209
171,34.770237,106.768213
172,34.770237,106.768216
173,34.76966,106.761373
174,34.77041,106.757668
175,34.770445,106.760395
176,34.70556,106.730834
177,35.129868,106.659601
178,35.129868,106.659601
179,38.32874,-121.567565
180,38.32874,-121.567565
181,38.32874,-121.567565
182,38.32874,-121.567565
183,38.32874,-121.567565
184,38.32874,-121.567565
185,46.513534,104.456789
186,46.14987,104.375471
187,38.397578,95.581083
188,41.001713,97.442508
189,38.50893,97.110783
190,40.013098,99.674078
191,40.792593,101.97269
192,47.271463,108.455642
193,47.180446,108.255596
194,43.926,111.828
195,43.943,111.809
196,39.01822,76.85686
197,39.01822,76.85686
198,39.01822,76.85686
199,39.01822,76.85686
200,39.01822,76.85686
201,39.01822,76.85686
202,39.01822,76.85686
203,39.01822,76.85686
204,39.01822,76.85686
205,39.01822,76.85686
206,39.01822,76.85686
207,39.01822,76.85686
208,42.357379,74.969132
209,42.350138,74.981928
210,43.82,76.17684
211,43.81926,76.17708
212,45.990239,99.0286
213,45.991032,99.0292
214,43.6529324,96.4811
215,43.6524981,96.4806
216,44.790281,96.594
217,44.790592,96.5939
218,45.46001134,100.053
219,45.39198733,100.02
220,44.68605397,99.3925
221,44.68629143,99.3942
222,42.3246813,79.539278
223,42.3246813,79.539278
224,43.84059,88.982622
225,42.590695,89.418892
226,44.666861,91.209477
227,42.585646,89.428553
228,44.64017,93.580686
229,44.021985,88.855898
230,44.021937,88.854949
231,44.754192,91.253757
232,44.64119,93.681088
233,48.838626,88.981214
234,41.912246,97.733542
235,40.583269,96.396685
236,39.617315,98.137017
237,37.14667,101.22124
238,44.0302,77.3217
239,40.9805,77.4571
240,41.2658,84.3424
241,41.2639,84.3419
242,41.051,83.1635
243,41.052,83.1658
244,39.5026,82.4227
245,39.5051,82.4242
246,41.1321,83.4543
247,41.1318,83.4544
248,41.248,84.3448
249,41.23,84.3748
250,41.9149,-74.0868
251,41.9147,-74.0862
252,41.9148,-74.0865
253,41.9158,-74.0792
254,41.9182,-74.0838
255,41.9181,-74.0837
256,41.9179,-74.0836
257,41.9096,-74.0942
258,41.9124,-74.0882
259,41.9125,-74.0884
260,41.9126,-74.0883
261,41.9208,-74.0786
262,41.9207,-74.0787
263,41.9208,-74.0786
264,41.9208,-74.0792
265,41.9208,-74.0791
266,41.9208,-74.0783
267,41.9194,-74.0797
268,41.9193,-74.0797
269,41.9195,-74.08
270,41.9293,-74.0802
271,41.9194,-74.0802
272,41.9191,-74.0799
273,41.9291,-74.0799
274,41.919,-74.0799
275,41.9192,-74.0799
276,41.9141,-74.0804
277,41.9191,-74.0803
278,41.919,-74.0801
279,41.9186,-74.0798
280,41.9188,-74.0803
281,41.9187,-74.0801
282,41.9187,-74.0824
283,41.9185,-74.0802
284,41.9187,-74.0806
285,41.9185,-74.0806
286,41.9185,-74.0806
287,41.9185,-74.0806
288,41.9185,-74.0808
289,41.9186,-74.0809
290,41.9185,-74.0809
291,41.9137,-74.0864
