,Exchangeable_K_ST,Pred_Exchangeable_K_ST,True_Exchangeable_K_ST,土地,作物,土地_作物
259_21_Sait_Spin,6.8778763,50.12213,57.000008,Sait,Spin,Sait_Spin
269_21_Naga_Appl,18.973255,27.026745,46.0,Naga,Appl,Naga_Appl
283_22_Miyz_Soyb,1.8003254,24.199675,26.0,Miyz,Soyb,Miyz_Soyb
287_22_Hokk_Soyb,2.167344,16.167349,14.000005,Hokk,Soyb,Hokk_Soyb
298_22_Hokk_Whea,5.3118935,22.311893,17.0,Hokk,Whea,Hokk_Whea
310_22_Chib_Whea,4.4156075,30.584393,35.0,Chib,Whea,Chib_Whea
311_22_Chib_Whea,7.0,28.0,35.0,Chib,Whea,Chib_Whea
326_22_Niig_Rice,12.139036,20.860964,33.0,Niig,Rice,Niig_Rice
332_22_Niig_jpea,19.0,26.0,45.0,Niig,jpea,Niig_jpea
344_22_Yama_Rice,2.8867354,9.886735,6.9999995,Yama,Rice,Yama_Rice
350_22_Sait_Pear,17.795822,35.204178,53.0,Sait,Pear,Sait_Pear
357_22_Sait_Pear,5.0,34.0,29.0,Sait,Pear,Sait_Pear
359_22_Sait_Pear,33.0,59.0,26.0,Sait,Pear,Sait_Pear
370_22_Miee_Soyb,3.6228218,23.622822,20.0,Miee,Soyb,Miee_Soyb
013_20_Akit_Rice,0.80000114,23.0,22.199999,Akit,Rice,Akit_Rice
099_20_Hyog_Rice,1.499999,17.0,15.500001,Hyog,Rice,Hyog_Rice
100_20_Hyog_Rice,14.154305,27.854307,13.700002,Hyog,Rice,Hyog_Rice
128_20_Miyz_Spin,7.5,34.0,41.5,Miyz,Spin,Miyz_Spin
024_20_Niig_Rice,7.5968876,23.669296,16.072409,Niig,Rice,Niig_Rice
064_20_Naga_Onio,12.0,32.0,20.0,Naga,Onio,Naga_Onio
049_20_Sait_Yama,24.465206,33.0,57.465206,Sait,Yama,Sait_Yama
147_21_Miyz_Spin,11.0,33.0,44.0,Miyz,Spin,Miyz_Spin
149_21_Miyz_Spin,2.991253,37.008747,40.0,Miyz,Spin,Miyz_Spin
153_21_Miyz_Spin,15.0,42.0,27.0,Miyz,Spin,Miyz_Spin
159_21_Miyz_Spin,23.014944,31.985052,54.999996,Miyz,Spin,Miyz_Spin
171_21_Miyz_Spin,4.5548744,37.554874,33.0,Miyz,Spin,Miyz_Spin
195_21_Miyz_Spin,5.663437,39.663437,34.0,Miyz,Spin,Miyz_Spin
197_21_Miyz_Spin,10.14621,43.14621,33.0,Miyz,Spin,Miyz_Spin
200_21_Miyz_Spin,28.0,34.0,62.0,Miyz,Spin,Miyz_Spin
206_21_Miyz_Spin,1.8607178,34.860718,33.0,Miyz,Spin,Miyz_Spin
223_21_Miyz_Edam,19.749258,13.250742,33.0,Miyz,Edam,Miyz_Edam
229_21_Miyz_Edam,35.0,29.0,64.0,Miyz,Edam,Miyz_Edam
