,NH4_N_ST,Pred_NH4_N_ST,True_NH4_N_ST,土地,作物,土地_作物
354_22_Sait_Pear,0.0,0.4,0.4,Sait,Pear,Sait_Pear
361_22_Miee_Soyb,3.139662,0.760338,3.9,Miee,Soyb,Miee_Soyb
372_22_Miee_Soyb,2.6,0.9,3.5,Miee,Soyb,Miee_Soyb
004_20_Aomo_Rice,0.35175663,0.6,0.95175666,Aomo,Rice,Aomo_Rice
008_20_Aomo_Rice,0.7423034,0.5,1.2423034,Aomo,Rice,Aomo_Rice
018_20_Akit_Soyb,0.3,0.6,0.3,Akit,Soyb,Akit_Soyb
095_20_Hyog_Rice,0.19999999,0.6,0.8,Hyog,Rice,Hyog_Rice
025_20_Niig_Rice,0.12062001,0.5,0.62062,Niig,Rice,Niig_Rice
028_20_Niig_Rice,0.49374497,0.6,1.093745,Niig,Rice,Niig_Rice
141_21_Miyz_Spin,0.0,0.3,0.3,Miyz,Spin,Miyz_Spin
146_21_Miyz_Spin,0.10000001,0.3,0.2,Miyz,Spin,Miyz_Spin
148_21_Miyz_Spin,0.2,0.4,0.2,Miyz,Spin,Miyz_Spin
157_21_Miyz_Spin,0.0,0.3,0.3,Miyz,Spin,Miyz_Spin
165_21_Miyz_Spin,0.10000001,0.3,0.2,Miyz,Spin,Miyz_Spin
178_21_Miyz_Spin,0.18780123,0.38780123,0.2,Miyz,Spin,Miyz_Spin
183_21_Miyz_Spin,0.0,0.4,0.4,Miyz,Spin,Miyz_Spin
209_21_Miyz_Spin,0.099999994,0.4,0.5,Miyz,Spin,Miyz_Spin
222_21_Miyz_Edam,0.099999994,0.5,0.4,Miyz,Edam,Miyz_Edam
244_21_Aomo_Appl,0.0,0.7,0.7,Aomo,Appl,Aomo_Appl
246_21_Aomo_Appl,0.3450833,0.5549167,0.9,Aomo,Appl,Aomo_Appl
260_21_Naga_Appl,0.19999999,0.6,0.8,Naga,Appl,Naga_Appl
261_21_Naga_Appl,0.21214592,0.5878541,0.8,Naga,Appl,Naga_Appl
262_21_Naga_Appl,0.3,0.5,0.8,Naga,Appl,Naga_Appl
263_21_Naga_Appl,0.6,0.4,1.0,Naga,Appl,Naga_Appl
275_22_Naga_Rice,0.099999994,0.5,0.4,Naga,Rice,Naga_Rice
289_22_Hokk_Whea,0.20000002,0.6,0.4,Hokk,Whea,Hokk_Whea
291_22_Hokk_Whea,0.19999999,0.9,0.7,Hokk,Whea,Hokk_Whea
295_22_Hokk_Whea,0.3,0.5,0.8,Hokk,Whea,Hokk_Whea
304_22_Hokk_Whea,0.0,0.4,0.4,Hokk,Whea,Hokk_Whea
307_22_Hokk_Whea,0.099999994,0.4,0.3,Hokk,Whea,Hokk_Whea
324_22_Niig_Rice,0.39999998,0.5,0.9,Niig,Rice,Niig_Rice
351_22_Sait_Pear,0.100000024,0.5,0.6,Sait,Pear,Sait_Pear
363_22_Miee_Soyb,2.802002,0.8979978,3.6999998,Miee,Soyb,Miee_Soyb
367_22_Miee_Soyb,2.8171477,1.0828522,3.9,Miee,Soyb,Miee_Soyb
007_20_Aomo_Rice,0.5533286,0.7,1.2533286,Aomo,Rice,Aomo_Rice
020_20_Akit_Soyb,0.5,0.7,0.2,Akit,Soyb,Akit_Soyb
093_20_Hyog_Rice,0.100000024,0.6,0.5,Hyog,Rice,Hyog_Rice
122_20_Miyz_Spin,0.099999994,0.4,0.3,Miyz,Spin,Miyz_Spin
069_20_Naga_Rice,0.59999996,0.7,0.1,Naga,Rice,Naga_Rice
043_20_Sait_Carr,0.08283931,0.7,0.7828393,Sait,Carr,Sait_Carr
050_20_Sait_Stra,3.539645,0.4,3.939645,Sait,Stra,Sait_Stra
142_21_Miyz_Spin,0.0,0.4,0.4,Miyz,Spin,Miyz_Spin
143_21_Miyz_Spin,0.2,0.4,0.2,Miyz,Spin,Miyz_Spin
154_21_Miyz_Spin,0.0,0.3,0.3,Miyz,Spin,Miyz_Spin
173_21_Miyz_Spin,0.19999999,0.5,0.3,Miyz,Spin,Miyz_Spin
180_21_Miyz_Spin,0.4,0.5,0.1,Miyz,Spin,Miyz_Spin
182_21_Miyz_Spin,0.099999994,0.4,0.3,Miyz,Spin,Miyz_Spin
190_21_Miyz_Spin,0.0,0.6,0.6,Miyz,Spin,Miyz_Spin
204_21_Miyz_Spin,0.39999998,0.5,0.9,Miyz,Spin,Miyz_Spin
208_21_Miyz_Spin,0.19999999,0.5,0.7,Miyz,Spin,Miyz_Spin
210_21_Miyz_Spin,0.20000002,0.4,0.6,Miyz,Spin,Miyz_Spin
211_21_Miyz_Spin,0.29999998,0.4,0.7,Miyz,Spin,Miyz_Spin
212_21_Miyz_Edam,0.29999998,0.7,0.4,Miyz,Edam,Miyz_Edam
231_21_Miyz_Edam,0.3,0.8,0.5,Miyz,Edam,Miyz_Edam
237_21_Miyz_Spin,0.19999999,0.5,0.7,Miyz,Spin,Miyz_Spin
247_21_Aomo_Appl,0.040661037,0.64066106,0.6,Aomo,Appl,Aomo_Appl
267_21_Naga_Appl,0.19999999,0.8,0.6,Naga,Appl,Naga_Appl
268_21_Naga_Appl,0.19999999,0.7,0.9,Naga,Appl,Naga_Appl
273_22_Naga_Rice,0.19999999,0.5,0.3,Naga,Rice,Naga_Rice
288_22_Hokk_Soyb,0.70000005,0.6,1.3000001,Hokk,Soyb,Hokk_Soyb
299_22_Hokk_Whea,0.6,1.0,0.4,Hokk,Whea,Hokk_Whea
312_22_Chib_Whea,0.099999964,0.8,0.9,Chib,Whea,Chib_Whea
315_22_Miyg_Rice,0.0,0.7,0.7,Miyg,Rice,Miyg_Rice
327_22_Niig_Pear,0.20423818,0.59576184,0.8,Niig,Pear,Niig_Pear
342_22_Yama_Rice,0.40000004,0.6,0.2,Yama,Rice,Yama_Rice
011_20_Akit_Rice,0.099999994,0.4,0.5,Akit,Rice,Akit_Rice
016_20_Akit_Rice,0.3,0.3,0.6,Akit,Rice,Akit_Rice
017_20_Akit_Soyb,0.099999994,0.5,0.4,Akit,Soyb,Akit_Soyb
019_20_Akit_Soyb,0.10000001,0.3,0.2,Akit,Soyb,Akit_Soyb
123_20_Miyz_Spin,0.2,0.4,0.2,Miyz,Spin,Miyz_Spin
130_20_Miyz_Spin,0.099999994,0.3,0.4,Miyz,Spin,Miyz_Spin
068_20_Naga_Rice,0.5,0.6,0.1,Naga,Rice,Naga_Rice
131_21_Akit_Edam,0.099999994,0.3,0.4,Akit,Edam,Akit_Edam
132_21_Akit_Edam,0.4,0.5,0.1,Akit,Edam,Akit_Edam
133_21_Akit_Edam,0.5,0.6,0.1,Akit,Edam,Akit_Edam
136_21_Akit_Soyb,0.4,0.5,0.1,Akit,Soyb,Akit_Soyb
150_21_Miyz_Spin,0.2,0.4,0.2,Miyz,Spin,Miyz_Spin
160_21_Miyz_Spin,0.0,0.3,0.3,Miyz,Spin,Miyz_Spin
161_21_Miyz_Spin,0.19999999,0.3,0.5,Miyz,Spin,Miyz_Spin
175_21_Miyz_Spin,0.099999994,0.4,0.3,Miyz,Spin,Miyz_Spin
188_21_Miyz_Spin,0.100000024,0.6,0.5,Miyz,Spin,Miyz_Spin
196_21_Miyz_Spin,0.0,0.6,0.6,Miyz,Spin,Miyz_Spin
203_21_Miyz_Spin,0.099999964,0.6,0.7,Miyz,Spin,Miyz_Spin
216_21_Miyz_Edam,0.099888474,0.49988848,0.4,Miyz,Edam,Miyz_Edam
218_21_Miyz_Edam,0.19999999,0.5,0.3,Miyz,Edam,Miyz_Edam
