,Available_P_ST,Pred_Available_P_ST,True_Available_P_ST,土地,作物,土地_作物
272_22_Naga_Rice,5.4301186,39.56988,45.0,Naga,Rice,Naga_Rice
277_22_Naga_Rice,10.0,50.0,40.0,Naga,Rice,Naga_Rice
280_22_Naga_Rice,1.0,43.0,44.0,Naga,Rice,Naga_Rice
281_22_Naga_Rice,5.0,43.0,38.0,Naga,Rice,Naga_Rice
301_22_Hokk_Whea,18.97805,19.02195,38.0,Hokk,Whea,Hokk_Whea
313_22_Chib_Whea,3.4715414,10.471541,7.0,Chib,Whea,Chib_Whea
318_22_Miyg_Rice,0.0,15.0,15.0,Miyg,Rice,Miyg_Rice
331_22_Niig_jpea,3.9079552,42.092045,46.0,Niig,jpea,Niig_jpea
333_22_Yama_Rice,11.0,36.0,25.0,Yama,Rice,Yama_Rice
334_22_Yama_Rice,2.135623,15.864377,18.0,Yama,Rice,Yama_Rice
337_22_Yama_Rice,5.0,20.0,25.0,Yama,Rice,Yama_Rice
348_22_Sait_Pear,52.814316,77.18567,129.99998,Sait,Pear,Sait_Pear
365_22_Miee_Soyb,32.741165,52.741165,20.0,Miee,Soyb,Miee_Soyb
366_22_Miee_Soyb,26.81226,50.81226,24.0,Miee,Soyb,Miee_Soyb
002_20_Aomo_Rice,5.534765,9.689603,4.154838,Aomo,Rice,Aomo_Rice
014_20_Akit_Rice,10.0,14.0,24.0,Akit,Rice,Akit_Rice
015_20_Akit_Rice,8.5435505,23.54355,15.0,Akit,Rice,Akit_Rice
127_20_Miyz_Spin,13.23571,38.76429,52.0,Miyz,Spin,Miyz_Spin
026_20_Niig_Rice,3.8634243,14.0,17.863424,Niig,Rice,Niig_Rice
030_20_Niig_Rice,6.757461,12.573779,5.816318,Niig,Rice,Niig_Rice
062_20_Naga_Barl,11.945095,48.054905,60.0,Naga,Barl,Naga_Barl
065_20_Naga_Onio,1.0,32.0,31.0,Naga,Onio,Naga_Onio
066_20_Naga_Onio,25.0,12.0,37.0,Naga,Onio,Naga_Onio
067_20_Naga_Pump,6.0,49.0,43.0,Naga,Pump,Naga_Pump
144_21_Miyz_Spin,61.977898,119.02215,181.00005,Miyz,Spin,Miyz_Spin
152_21_Miyz_Spin,268.23633,101.763695,370.00003,Miyz,Spin,Miyz_Spin
155_21_Miyz_Spin,43.050774,101.94923,145.0,Miyz,Spin,Miyz_Spin
158_21_Miyz_Spin,269.06396,108.93605,378.00003,Miyz,Spin,Miyz_Spin
169_21_Miyz_Spin,29.25653,140.74347,170.0,Miyz,Spin,Miyz_Spin
198_21_Miyz_Spin,36.000008,30.0,66.00001,Miyz,Spin,Miyz_Spin
225_21_Miyz_Edam,64.24393,207.24393,143.0,Miyz,Edam,Miyz_Edam
230_21_Miyz_Edam,5.0,43.0,48.0,Miyz,Edam,Miyz_Edam
255_21_Sait_Spin,199.00003,81.0,280.00003,Sait,Spin,Sait_Spin
266_21_Naga_Appl,74.0,48.0,122.0,Naga,Appl,Naga_Appl
270_21_Naga_Appl,4.986965,39.986965,35.0,Naga,Appl,Naga_Appl
282_22_Naga_Rice,21.0,24.0,45.0,Naga,Rice,Naga_Rice
292_22_Hokk_Whea,2.0,46.0,48.0,Hokk,Whea,Hokk_Whea
306_22_Hokk_Whea,18.0,37.0,55.0,Hokk,Whea,Hokk_Whea
308_22_Hokk_Whea,29.99577,44.00423,74.0,Hokk,Whea,Hokk_Whea
328_22_Niig_Pear,50.149384,171.85059,221.99997,Niig,Pear,Niig_Pear
329_22_Niig_Pear,246.0,75.0,321.0,Niig,Pear,Niig_Pear
336_22_Yama_Rice,1.4992924,23.500708,25.0,Yama,Rice,Yama_Rice
346_22_Yama_Rice,9.56041,23.56041,14.0,Yama,Rice,Yama_Rice
362_22_Miee_Soyb,6.0,43.0,49.0,Miee,Soyb,Miee_Soyb
369_22_Miee_Soyb,7.0574684,38.94253,46.0,Miee,Soyb,Miee_Soyb
091_20_Hyog_Rice,9.084759,53.08476,44.0,Hyog,Rice,Hyog_Rice
092_20_Hyog_Rice,3.976347,17.976347,14.0,Hyog,Rice,Hyog_Rice
061_20_Naga_Barl,14.437798,68.4378,54.0,Naga,Barl,Naga_Barl
063_20_Naga_Onio,10.053009,66.94699,77.0,Naga,Onio,Naga_Onio
041_20_Sait_Carr,1.5227509,81.97031,83.49306,Sait,Carr,Sait_Carr
135_21_Akit_Edam,2.0,39.0,37.0,Akit,Edam,Akit_Edam
151_21_Miyz_Spin,243.47102,58.529007,302.00003,Miyz,Spin,Miyz_Spin
163_21_Miyz_Spin,389.0,35.0,424.0,Miyz,Spin,Miyz_Spin
166_21_Miyz_Spin,177.99692,278.99692,101.0,Miyz,Spin,Miyz_Spin
170_21_Miyz_Spin,70.38263,191.61734,261.99997,Miyz,Spin,Miyz_Spin
185_21_Miyz_Spin,30.88081,38.88081,8.0,Miyz,Spin,Miyz_Spin
194_21_Miyz_Spin,38.080723,60.919277,99.0,Miyz,Spin,Miyz_Spin
213_21_Miyz_Edam,83.47015,162.52988,246.00003,Miyz,Edam,Miyz_Edam
215_21_Miyz_Edam,9.8744545,52.874454,43.0,Miyz,Edam,Miyz_Edam
224_21_Miyz_Edam,4.034889,54.03489,50.0,Miyz,Edam,Miyz_Edam
233_21_Miyz_Edam,14.0,60.0,74.0,Miyz,Edam,Miyz_Edam
239_21_Aomo_Appl,43.0,48.0,5.0,Aomo,Appl,Aomo_Appl
252_21_Aomo_Appl,27.046547,78.04655,51.0,Aomo,Appl,Aomo_Appl
253_21_Sait_Spin,120.999985,119.0,239.99998,Sait,Spin,Sait_Spin
254_21_Sait_Spin,155.49667,63.503315,218.99998,Sait,Spin,Sait_Spin
256_21_Sait_Spin,27.435654,127.43565,100.0,Sait,Spin,Sait_Spin
279_22_Naga_Rice,0.0,39.0,39.0,Naga,Rice,Naga_Rice
300_22_Hokk_Whea,17.885805,16.114195,34.0,Hokk,Whea,Hokk_Whea
317_22_Miyg_Rice,12.0,19.0,7.0,Miyg,Rice,Miyg_Rice
322_22_Niig_Rice,0.005373001,14.005373,14.0,Niig,Rice,Niig_Rice
335_22_Yama_Rice,10.614191,16.385809,27.0,Yama,Rice,Yama_Rice
341_22_Yama_Rice,2.0,14.0,16.0,Yama,Rice,Yama_Rice
358_22_Sait_Pear,3.6115074,52.611507,49.0,Sait,Pear,Sait_Pear
373_22_Miee_Soyb,10.0,30.0,40.0,Miee,Soyb,Miee_Soyb
374_22_Miee_Soyb,22.0,21.0,43.0,Miee,Soyb,Miee_Soyb
